Rank,Last_Name,First_Name,Weight_Class,BW,Club,YOB,Date,Total,Class,Competition_Group_Current_Age,BW_Sinclair
59,Perez,Patrick,73,70.89,VAL,2003,2024-12-17 00:00:00,173,Prov. 5,Sr,237.4953397818643
60,Foster ,Logan ,89,88.0,FSA,2008,2024-11-16 00:00:00,194,Prov. 5,Yth,235.80771420022225
61,Penaranda,Christopher,96,90.91,SYN,1993,2024-12-17 00:00:00,195,Prov. 5,Sr,233.31420885467375
62,Yee,Peter,81,79.33,GGW,1985,2024-12-17 00:00:00,180,Prov. 5,Mstr,231.096379889145
63,Heinemann,Christopher,96,96.0,GGW,2001,2024-10-05 00:00:00,197,Prov. 5,Sr,229.90524852497998
64,Jensen-Yuzwenko,Aiden,81,79.4,GGW,2000,2024-10-05 00:00:00,176,Novice,Sr,225.84935611062727
65,Foster,Logan,89,87.43,FSA,2008,2024-09-07 00:00:00,181,Jr. Nats ,Yth,220.71793457553278
66,Lefevre,Eugene,73,72.2,TOP,2009,2024-12-17 00:00:00,160,Jr. Nats ,Yth,217.14952512136566
67,Chung,Dale,109+,111.02,MET,1982,2024-06-29 00:00:00,195,Novice,Mstr,214.88011996724
68,Lefevre ,Eugene ,73,72.0,FSA,2009,2024-11-16 00:00:00,156,Novice,Yth,212.08529374921756
69,Mills,Scott,67,66.86,IX,1981,2024-10-05 00:00:00,146,Novice,Mstr,208.19072943488047
70,Fish,Isaac,96,94.75,PPL,2000,2024-12-17 00:00:00,175,Novice,Sr,205.42382213190757
71,Melemenis ,Chris,81,81.0,VAL,1988,2024-11-16 00:00:00,161,Novice,Mstr,204.33272263370102
72,Mengistu,Yeabsera,67,61.41,MET,2001,2024-12-17 00:00:00,130,Novice,Sr,196.6463278674549
73,Gabis,Frank,81,80.51,SYN,1996,2024-10-05 00:00:00,152,Novice,Sr,193.5540317529721
74,Berg,Johann,102,98.01,SYN,1994,2024-12-17 00:00:00,160,Novice,Sr,185.05382997968042
75,St. Amour,Cole,81,78.92,PAN,2009,2024-09-07 00:00:00,143,Novice,Yth,184.1284193074016
76,Whalen ,Lee,89,87.0,OPF,2000,2024-11-16 00:00:00,146,Novice,Sr,178.47766726257504
77,Rebman,Kristopher,102,100.23,OPF,1982,2024-12-17 00:00:00,155,Novice,Mstr,177.59099516897294
78,Leskovsky,Jakub,96,93.32,GGW,2007,2024-09-07 00:00:00,150,Novice,Jr,177.29578225152497
79,Schiff,Daniel,96,91.58,OPF,1975,2024-10-05 00:00:00,144,Novice,Mstr,171.69710532137793
80,St. Amour ,Cole ,81,79.0,PAN,2009,2024-11-16 00:00:00,126,Novice,Yth,162.14649990322252
81,Comeau,Jack,73,71.33,VAL,1981,2024-10-05 00:00:00,109,Novice,Mstr,149.05472526850784
82,Leskiw,Logan,55,50.73,VAL,2009,2024-10-05 00:00:00,75,Novice,Yth,131.70215763615948
83,Luxford,Miles,49,34.23,GGW,2011,2024-09-07 00:00:00,48,NaN,Yth,123.17719529452995
84,Leskiw ,Logan ,55,49.0,VAL,2009,2024-11-16 00:00:00,64,Novice,Yth,115.7565635824495
85,LeBlanc,Hawksley,61,57.48,GGW,2011,2024-09-07 00:00:00,32,Novice,Yth,50.83860420275805
